mol_name,SMILES,dG_bind,dG_bind_err,vacuum_dG_bind,solvent_dG_bind,complex_dG_bind,Glide_score,dummy_atoms
atoms 26 bonds 27_2897,[H]C(=O)c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])C(=O)N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c2[H])c(Cl)c1[H],-9.351831432855448,0.5636075664121316,95.88231085184528,82.02293292830589,72.67110149545044,-8.36300939487866,22
atoms 27 bonds 29_805,[H]OC([H])([H])c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])C(=O)[C@@]3([H])C([H])([H])[C@@]3([H])C#N)c2[H])c(Cl)c1[H],-9.206295405658302,0.38657647716618126,-9.885679678781768,-42.78325650781989,-51.989551913478195,-9.26376966475469,5
atoms 26 bonds 28_3911,[H]OC([H])([H])c1nc([H])c([H])c(N([H])c2nc([H])c([H])c(N([H])C(=O)c3c(Cl)c([H])c([H])c([H])c3Br)c2[H])n1,-9.154159191347112,0.6534556376630347,-30.56699534517806,-45.96041406180495,-55.11457325315206,-8.72061569372151,23
atoms 29 bonds 31_7685,[H]OC([H])([H])c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])c3nc(C([H])([H])[H])c(C#N)c([H])c3[H])c2[H])c(Cl)c1[H],-9.152148836275789,0.7971356520898973,52.18988334490934,21.816970861471376,12.664822025195587,-8.60866764765328,28
atoms 29 bonds 31_3530,[H]OC([H])([H])c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])c3nc(N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c3[H])c2[H])c(Cl)c1[H],-9.130222829101754,0.8784730906282707,52.47270381369569,23.152784469749356,14.022561640647602,-8.62657492524153,32
atoms 28 bonds 31_7662,[H]c1nc(N([H])c2nc(N([H])[H])nc(C3([H])C([H])([H])C3([H])[H])c2[H])c([H])c(N([H])C(=O)c2c(F)c([H])c([H])c([H])c2Br)c1[H],-9.083573418086104,0.7642942268311659,-195.77034873396659,-218.34923697091773,-227.43281038900383,-9.20810367184458,28
atoms 24 bonds 25_2852,[H]OC([H])([H])c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])C(=O)OC([H])([H])[H])c2[H])c(Cl)c1[H],-9.033576287041122,0.47198288604873545,75.03159220591598,55.78464437271429,46.75106808567317,-8.43704636155994,17
atoms 27 bonds 29_5589,[H]OC([H])([H])c1nc(C([H])([H])[H])nc(N([H])c2nc([H])c([H])c(N([H])C(=O)c3c(F)c([H])c([H])c([H])c3Cl)c2[H])c1[H],-9.030952790561543,0.7550577527695871,-55.453439675070584,-69.90175443479971,-78.93270722536126,-9.59471374475334,26
atoms 30 bonds 32_5050,[H]OC([H])([H])[C@]([H])(N([H])c1nc(N([H])c2nc([H])c([H])c(N([H])C(=O)c3c(Cl)c([H])c([H])c([H])c3Cl)c2[H])c([H])c(C([H])([H])[H])n1)C([H])([H])[H],-8.89282186928122,0.8819504365128742,-136.37798827229432,-165.76124241668964,-174.65406428597086,-9.10952538564932,34
atoms 27 bonds 29_2585,[H]OC([H])([H])c1nc(N([H])c2nc([H])c([H])c(N([H])C(=O)c3c(Cl)c([H])c([H])c([H])c3Cl)c2[H])c([H])c(C([H])([H])[H])n1,-8.769056100392298,0.6932189005195742,-39.9380415750222,-54.71445726611613,-63.483513366508426,-8.9076057699975,26
